Team,Nickname,City,State,Conference,Stadium,Capacity
Adams State,Grizzlies,Alamosa,Colorado,RMAC,ASU Baseball Field,500
Adelphi,Panthers,Garden City,New York,NE-10,William J. Bonomo Memorial Field,500
Alabama–Huntsville,Chargers,Huntsville,Alabama,Gulf South,Charger Park,500[2]
Albany State,Golden Rams,Albany,Georgia,SIAC,West Campus Baseball Field,400
American International,Yellow Jackets,Springfield,Massachusetts,NE-10,Richard F. Bedard Field,500
Anderson,Trojans,Anderson,South Carolina,SAC,Anderson Memorial Stadium,"2,500"
Angelo State,Rams,San Angelo,Texas,Lone Star,Foster Field at 1st Community Credit Union Stadium,"4,000"
Arkansas Tech,Wonder Boys,Russellville,Arkansas,GAC,Baswell Field,500
Arkansas–Fort Smith,Lions,Fort Smith,Arkansas,MIAA,Crowder Field,"1,000[3]"
Arkansas–Monticello,Boll Weevils,Monticello,Arkansas,GAC,Weevils Field,600
Ashland,Eagles,Ashland,Ohio,G-MAC,Donges Field,650
Assumption,Greyhounds,Worcester,Massachusetts,NE-10,H.L. Rocheleau '24 Field,500
Auburn Montgomery,Warhawks,Montgomery,Alabama,Gulf South,AUM Baseball Complex,600
Augusta,Jaguars,Augusta,Georgia,Peach Belt,Jaguar Field,100
Augustana,Vikings,Sioux Falls,South Dakota,NSIC,Ronken Field,400
Azusa Pacific,Cougars,Azusa,California,PacWest,Cougar Baseball Field,"1,000"
Barry,Buccaneers,Miami Shores,Florida,SSC,Feinbloom Field,"1,000"
Barton,Bulldogs,Wilson,North Carolina,Carolinas,Fleming Stadium,"3,000"
Belmont Abbey,Crusaders,Belmont,North Carolina,Carolinas,Abbey Yard,"1,000"
Bemidji State,Beavers,Bemidji,Minnesota,NSIC,BSU Baseball Field,250
Benedict,Tigers,Columbia,South Carolina,SIAC,Tiger Field,250
Bentley,Falcons,Waltham,Massachusetts,NE-10,DeFelice Field,"1,700"
Biola,Eagles,La Mirada,California,PacWest,Eagles Diamond,500
Bloomfield,Bears,Bloomfield,New Jersey,CACC,West Side Park,400
Bloomsburg,Huskies,Bloomsburg,Pennsylvania,PSAC,Danny Litwhiler Field,100
Bluefield State,Big Blue,Bluefield,West Virginia,Independent[a],"Bowen Field (Bluefield, VA)","3,000"
Bridgeport,Purple Knights,Bridgeport,Connecticut,CACC,Seaside Park Baseball Complex,—
Cal Poly Pomona,Broncos,Pomona,California,CCAA,Scolinos Field,500
Cal State Dominguez Hills,Toros,Carson,California,CCAA,Toro Field,400
Cal State East Bay,Pioneers,Hayward,California,CCAA,Pioneer Field,200
Cal State Los Angeles,Golden Eagles,Los Angeles,California,CCAA,Reeder Field,500
Cal State Monterey Bay,Otters,Seaside,California,CCAA,Otter Sports Complex,600
Cal State San Bernardino,Coyotes,San Bernardino,California,CCAA,Fiscalini Field,"5,000"
Cal State San Marcos,Cougars,San Marcos,California,CCAA,CSUSM Baseball Field,350
Cal State Stanislaus,Warriors,Turlock,California,CCAA,Warrior Baseball Field,"1,000"
Caldwell,Cougars,Caldwell,New Jersey,CACC,Kiwanis Oval,500
California (PA),Vulcans,California,Pennsylvania,PSAC,Wild Things Park,"3,200"
Cameron,Aggies,Lawton,Oklahoma,Lone Star,McCord Field,"1,200"
Carson–Newman,Eagles,Jefferson City,Tennessee,SAC,Silver Diamond Baseball Complex,750
Catawba,Indians,Salisbury,North Carolina,SAC,Newman Park,"1,500"
Cedarville,Yellow Jackets,Cedarville,Ohio,G-MAC,Yellow Jacket Field,500
Central Missouri,Mules,Warrensburg,Missouri,MIAA,Crane Stadium at Tompkins Field,"1,500"
Central Oklahoma,Bronchos,Edmond,Oklahoma,MIAA,Wendell Simmons Field,—
Central Washington,Wildcats,Ellensburg,Washington,GNAC,CWU Baseball Field,500
Chaminade,Silverswords,Honolulu,Hawaii,PacWest,Various,—
Charleston (WV),Golden Eagles,Charleston,West Virginia,MEC,GoMart Ballpark,"4,500"
Chestnut Hill,Griffins,Philadelphia,Pennsylvania,CACC,Latshaw–McCathy Field (Norristown),"1,000"
Chico State,Wildcats,Chico,California,CCAA,Nettleton Stadium,"4,100"
Chowan,Hawks,Murfreesboro,North Carolina,Carolinas,Hawkins Field,500
Christian Brothers,Buccaneers,Memphis,Tennessee,Gulf South,Nadicksbernd Field,—
Claflin,Panthers,Orangeburg,South Carolina,Peach Belt[b],Mirmow Field,"3,000"
Clarion,Golden Eagles,Clarion,Pennsylvania,PSAC,Memorial Stadium Complex,—
Clark Atlanta,Panthers,Atlanta,Georgia,SIAC,Bill Evans Field,—
